"Timestamp","Scope","Pid(s)","CPU_Percent","WorkingSet_MB","Private_MB","Threads","Handles"
"2025-08-20T00:01:40","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.901","9874.89","9656.33","1717","31271"
"2025-08-20T00:01:41","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.94","9888.45","9663.76","1717","31271"
"2025-08-20T00:01:42","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.943","9878.93","9662.54","1717","31263"
"2025-08-20T00:01:43","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38208;38408;39488;39816","4.924","9868.66","9640.96","1717","31263"
"2025-08-20T00:01:44","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.87","9900.73","9614.34","1733","31585"
"2025-08-20T00:01:46","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.93","9909.12","9597.09","1733","31585"
"2025-08-20T00:01:47","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.934","9907.38","9592.69","1737","31583"
"2025-08-20T00:01:48","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.928","9908.28","9589.45","1736","31574"
"2025-08-20T00:01:49","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.882","9904.7","9568.91","1736","31574"
"2025-08-20T00:01:50","chrome","560;3884;4300;4964;12692;13228;13572;13676;14244;14488;14672;15212;15664;15788;16464;16908;18112;18568;20744;20784;21168;22060;23068;23288;23724;23856;24360;24508;24640;24884;25212;25460;26132;26588;26920;27856;28100;28520;28764;29368;29388;29644;30300;30412;31236;32056;32424;32908;32988;33504;33756;33768;35540;35876;36104;36368;36380;36784;37596;37984;38172;38208;38408;39488;39816","4.932","9955.04","9624.36","1741","31661"
